waiting for 1 second sample...
#<----CPU[HYPER]-----><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   2   0  2869   3142 222M 529M  36G  21G   1G   1G 158872   1256     52      2 
   0   0  1156   1146 226M 528M  36G  21G   1G   1G  41040    334    964    240 
   0   0  1013    883 199M 528M  36G  21G   1G   1G  29532    261    840    210 
   1   0   834   1811 204M 528M  36G  21G   1G   1G  36772    315      0      0 
   1   0   730   1489 214M 528M  36G  21G   1G   1G  28672    259      4      1 
   0   0   865    927 202M 528M  36G  21G   1G   1G  12068    144    840    209 
   0   0   895    330 202M 528M  36G  21G   1G   1G      0      0   1448    359 
   1   0  2314   2352 209M 528M  36G  21G   1G   1G 118864    938    384     96 
   6   1  2052   2786 224M 528M  36G  21G   1G   1G  86240    717   1572     25 
  17   3  2032   1470 221M 528M  36G  21G   1G   1G    640      5  22560    276 
   0   0   863    581 220M 528M  36G  21G   1G   1G   1024      8  27200    269 
   0   0   955    506 219M 528M  36G  21G   1G   1G   1408     11  12892    367 
   0   0   768    485 219M 528M  36G  21G   1G   1G   1424     15  18384    258 
   0   0   767    495 218M 528M  36G  21G   1G   1G    868     10  17248    261 
   0   0   614    408 217M 528M  36G  21G   1G   1G   1104     19   9924    275 
   1   0   836    478 217M 528M  36G  21G   1G   1G     20      3  10424    318 
   1   0  1216   1682 221M 528M  36G  21G   1G   1G  41732    340   1776    111 
   0   0   963    447 220M 528M  36G  21G   1G   1G      0      0   1492    372 
   0   0   853    330 219M 528M  36G  21G   1G   1G    896     11   1360    338 
   0   0   827    285 220M 528M  36G  21G   1G   1G      0      0   1352    337 
   0   0   793   1164 203M 528M  36G  21G   1G   1G  21604    181    444    110 
   3   0   980    780 229M 528M  36G  21G   1G   1G   1804     26  11596    223 
#<----CPU[HYPER]-----><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
