Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1547771697.737184,25924,4,0
2,Payment,1547771697.737353,170636,3,0
2,Payment,1547771697.746103,119601,5,0
2,Payment,1547771697.746103,315584,9,0
1,NewOrder,1547771697.754829,26008,6,0
1,NewOrder,1547771697.763297,17702,4,0
1,NewOrder,1547771697.771947,17610,2,0
2,Payment,1547771697.780870,194315,6,0
1,NewOrder,1547771697.781045,50820,4,0
2,Payment,1547771697.789491,520014,7,0
2,Payment,1547771697.789591,211342,2,0
2,Payment,1547771697.807324,228544,1,0
1,NewOrder,1547771697.831906,75699,4,0
2,Payment,1547771697.865743,152884,5,0
2,Payment,1547771697.907697,282895,4,0
1,NewOrder,1547771697.908020,41478,3,0
4,Delivery,1547771697.941457,50681,8,0
1,NewOrder,1547771697.949567,42525,3,0
1,NewOrder,1547771697.975225,25459,6,0
1,NewOrder,1547771697.992144,17576,3,0
4,Delivery,1547771697.992176,35197,8,0
1,NewOrder,1547771698.000716,5565,6,0
3,OrderStatus,1547771698.000957,2825,2,0
2,Payment,1547771698.003809,82950,2,0
2,Payment,1547771698.006296,37945,6,0
1,NewOrder,1547771698.009741,17664,3,0
2,Payment,1547771698.018644,59742,5,0
2,Payment,1547771698.027409,68097,8,0
2,Payment,1547771698.027436,525628,3,0
1,NewOrder,1547771698.035904,16775,1,0
1,NewOrder,1547771698.044261,25799,6,0
2,Payment,1547771698.052717,101938,1,0
2,Payment,1547771698.061726,50841,9,0
2,Payment,1547771698.070090,180053,6,0
1,NewOrder,1547771698.078409,25716,5,0
1,NewOrder,1547771698.086798,17327,2,0
2,Payment,1547771698.095540,50795,8,0
2,Payment,1547771698.104169,69231,2,0
2,Payment,1547771698.104169,137758,5,0
1,NewOrder,1547771698.112623,25266,9,0
1,NewOrder,1547771698.122275,24081,0,0
2,Payment,1547771698.137934,26568,9,0
2,Payment,1547771698.146373,180131,8,0
2,Payment,1547771698.146373,78882,0,0
5,StockLevel,1547771698.154692,5237,1,0
1,NewOrder,1547771698.159958,22017,1,0
1,NewOrder,1547771698.164527,17416,9,0
1,NewOrder,1547771698.173462,25761,2,0
2,Payment,1547771698.181980,26578,9,0
1,NewOrder,1547771698.181994,26597,1,0
1,NewOrder,1547771698.190634,17884,4,0
2,Payment,1547771698.199259,118585,2,0
2,Payment,1547771698.208581,50282,9,0
2,Payment,1547771698.208592,67253,4,0
2,Payment,1547771698.208627,178660,1,0
2,Payment,1547771698.225339,152962,0,0
1,NewOrder,1547771698.241964,25192,5,0
2,Payment,1547771698.250172,42469,6,0
1,NewOrder,1547771698.258897,25335,9,0
2,Payment,1547771698.267179,33761,5,0
2,Payment,1547771698.275866,242612,4,0
2,Payment,1547771698.284251,137377,9,0
2,Payment,1547771698.292668,164193,6,0
2,Payment,1547771698.300958,42743,5,0
1,NewOrder,1547771698.309525,25480,7,0
2,Payment,1547771698.317865,43033,2,0
1,NewOrder,1547771698.326521,25674,8,0
2,Payment,1547771698.335029,69397,7,0
1,NewOrder,1547771698.343717,25849,5,0
1,NewOrder,1547771698.352221,26048,8,0
1,NewOrder,1547771698.360927,17272,2,0
3,OrderStatus,1547771698.369582,1781,5,0
1,NewOrder,1547771698.371379,24438,5,0
2,Payment,1547771698.378220,209748,2,0
1,NewOrder,1547771698.378284,17569,8,0
4,Delivery,1547771698.378318,17427,0,0
1,NewOrder,1547771698.387317,25749,1,0
4,Delivery,1547771698.395767,589,0,0
2,Payment,1547771698.395838,78956,5,0
1,NewOrder,1547771698.395879,17154,8,0
2,Payment,1547771698.396369,42739,0,0
3,OrderStatus,1547771698.404444,2518,7,0
1,NewOrder,1547771698.406977,23332,7,0
4,Delivery,1547771698.413053,25973,8,0
2,Payment,1547771698.413079,70601,1,0
1,NewOrder,1547771698.421646,17353,9,0
1,NewOrder,1547771698.430326,17499,7,0
2,Payment,1547771698.439014,707098,9,0
4,Delivery,1547771698.439050,27058,8,0
1,NewOrder,1547771698.439132,27074,0,0
1,NewOrder,1547771698.447840,18207,7,0
1,NewOrder,1547771698.456875,17910,6,0
2,Payment,1547771698.466060,105498,7,0
2,Payment,1547771698.466121,175088,8,0
2,Payment,1547771698.466227,34805,0,0
1,NewOrder,1547771698.474802,17482,6,0
1,NewOrder,1547771698.474803,34924,5,0
1,NewOrder,1547771698.483699,26031,1,0
1,NewOrder,1547771698.492298,17520,6,0
1,NewOrder,1547771698.501051,17341,0,0
2,Payment,1547771698.509745,140100,5,0
1,NewOrder,1547771698.509750,43054,1,0
1,NewOrder,1547771698.509883,17227,6,0
2,Payment,1547771698.518444,184321,0,0
5,StockLevel,1547771698.518495,3294,4,0
1,NewOrder,1547771698.521823,40150,4,0
1,NewOrder,1547771698.527162,10170,6,0
1,NewOrder,1547771698.537346,9695,6,0
2,Payment,1547771698.547062,76117,6,0
1,NewOrder,1547771698.552824,17767,1,0
4,Delivery,1547771698.553082,26038,3,0
2,Payment,1547771698.562006,43493,4,0
1,NewOrder,1547771698.570631,17365,1,0
1,NewOrder,1547771698.571571,16404,7,0
1,NewOrder,1547771698.579142,17208,3,0
1,NewOrder,1547771698.587996,26098,2,0
2,Payment,1547771698.587997,219143,7,0
1,NewOrder,1547771698.588024,26115,1,0
1,NewOrder,1547771698.596370,26729,3,0
1,NewOrder,1547771698.605547,26788,4,0
1,NewOrder,1547771698.614122,26964,2,0
1,NewOrder,1547771698.614159,26926,1,0
2,Payment,1547771698.623130,43991,3,0
1,NewOrder,1547771698.623197,18242,6,0
4,Delivery,1547771698.632364,34891,4,0
2,Payment,1547771698.641118,80366,1,0
4,Delivery,1547771698.641119,27038,2,0
2,Payment,1547771698.641235,44080,8,0
1,NewOrder,1547771698.641455,17451,6,0
2,Payment,1547771698.649870,88451,5,0
1,NewOrder,1547771698.658934,17017,6,0
1,NewOrder,1547771698.667137,27021,3,0
1,NewOrder,1547771698.667271,18007,4,0
1,NewOrder,1547771698.668174,26120,2,0
1,NewOrder,1547771698.675977,18187,6,0
1,NewOrder,1547771698.685298,17513,4,0
2,Payment,1547771698.685332,190783,8,0
1,NewOrder,1547771698.694189,17763,6,0
1,NewOrder,1547771698.694193,35496,3,0
5,StockLevel,1547771698.694320,5221,2,0
2,Payment,1547771698.699561,56412,2,0
1,NewOrder,1547771698.702789,18219,0,0
1,NewOrder,1547771698.702824,18297,4,0
1,NewOrder,1547771698.711970,26258,6,0
2,Payment,1547771698.721034,69095,0,0
2,Payment,1547771698.721143,51944,4,0
1,NewOrder,1547771698.721513,16818,1,0
1,NewOrder,1547771698.729717,17200,3,0
2,Payment,1547771698.738251,86492,6,0
1,NewOrder,1547771698.738338,17681,5,0
4,Delivery,1547771698.738353,25919,1,0
2,Payment,1547771698.746942,102968,3,0
1,NewOrder,1547771698.755995,25521,2,0
2,Payment,1547771698.756039,609162,5,0
2,Payment,1547771698.764293,94195,1,0
1,NewOrder,1547771698.773107,25246,4,0
3,OrderStatus,1547771698.781535,3367,2,0
2,Payment,1547771698.784921,99434,2,0
1,NewOrder,1547771698.790151,25513,0,0
1,NewOrder,1547771698.798373,26290,4,0
1,NewOrder,1547771698.807160,34573,7,0
1,NewOrder,1547771698.815697,34192,0,0
2,Payment,1547771698.824685,549255,4,0
2,Payment,1547771698.824758,245437,6,0
2,Payment,1547771698.841754,51053,7,0
1,NewOrder,1547771698.849919,17510,0,0
1,NewOrder,1547771698.849932,26085,3,0
4,Delivery,1547771698.858514,17470,1,0
2,Payment,1547771698.867450,33935,0,0
2,Payment,1547771698.876003,330346,1,0
2,Payment,1547771698.876040,67522,3,0
2,Payment,1547771698.876139,313013,8,0
1,NewOrder,1547771698.884372,34031,2,0
2,Payment,1547771698.892828,93304,7,0
1,NewOrder,1547771698.901410,67355,0,0
2,Payment,1547771698.918430,421846,2,0
1,NewOrder,1547771698.943610,42209,3,0
1,NewOrder,1547771698.968796,75511,0,0
4,Delivery,1547771698.985855,84196,3,0
1,NewOrder,1547771698.986150,83871,7,0
1,NewOrder,1547771699.044343,42766,0,0
2,Payment,1547771699.070064,560082,7,0
1,NewOrder,1547771699.070079,76088,3,0
2,Payment,1547771699.070215,286497,6,0
1,NewOrder,1547771699.087140,92363,0,0
5,StockLevel,1547771699.146138,6001,9,0
1,NewOrder,1547771699.146182,42889,3,0
1,NewOrder,1547771699.152172,36839,9,0
1,NewOrder,1547771699.179555,18271,0,0
2,Payment,1547771699.189053,238596,9,0
1,NewOrder,1547771699.189096,25478,3,0
2,Payment,1547771699.189172,193108,8,0
