Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1547803213.620281,689563,1,0
1,NewOrder,1547803213.620281,689146,9,0
1,NewOrder,1547803213.620312,689359,6,0
2,Payment,1547803213.620312,689081,8,0
2,Payment,1547803213.620312,689101,2,0
2,Payment,1547803213.620316,689211,3,0
1,NewOrder,1547803213.620330,689323,4,0
4,Delivery,1547803213.620349,906384,0,0
2,Payment,1547803213.620354,689053,5,0
1,NewOrder,1547803213.663722,863010,7,0
1,NewOrder,1547803214.309763,713004,6,0
2,Payment,1547803214.309763,713409,4,0
4,Delivery,1547803214.309764,712988,5,0
2,Payment,1547803214.309765,713202,8,0
1,NewOrder,1547803214.309802,712931,9,0
1,NewOrder,1547803214.309886,712946,3,0
2,Payment,1547803214.309887,713087,1,0
1,NewOrder,1547803214.309896,713191,2,0
1,NewOrder,1547803214.526774,1737800,0,0
2,Payment,1547803214.526791,1737783,7,0
1,NewOrder,1547803215.022781,1410765,9,0
1,NewOrder,1547803215.022796,1410707,6,0
1,NewOrder,1547803215.022802,1411298,5,0
2,Payment,1547803215.022856,1410120,3,0
1,NewOrder,1547803215.022987,1410486,8,0
2,Payment,1547803215.023007,1409969,1,0
2,Payment,1547803215.023103,1409873,2,0
3,OrderStatus,1547803215.023240,6888,4,0
3,OrderStatus,1547803215.030162,4101,4,0
1,NewOrder,1547803215.034293,1399201,4,0
1,NewOrder,1547803216.264615,193766,0,0
2,Payment,1547803216.264615,193801,7,0
2,Payment,1547803216.433010,110902,2,0
2,Payment,1547803216.433010,110580,1,0
1,NewOrder,1547803216.433010,111131,3,0
2,Payment,1547803216.433499,110124,8,0
2,Payment,1547803216.433528,110080,6,0
2,Payment,1547803216.433537,110059,4,0
1,NewOrder,1547803216.433570,110911,9,0
1,NewOrder,1547803216.434129,109505,5,0
2,Payment,1547803216.458412,118979,0,0
1,NewOrder,1547803216.458439,118947,7,0
1,NewOrder,1547803216.543640,179023,4,0
1,NewOrder,1547803216.543641,179476,6,0
2,Payment,1547803216.543643,179021,1,0
2,Payment,1547803216.543664,178944,5,0
4,Delivery,1547803216.543665,1721241,8,0
5,StockLevel,1547803216.543938,20666,2,0
2,Payment,1547803216.544159,178572,3,0
3,OrderStatus,1547803216.544503,4168,9,0
2,Payment,1547803216.548701,173858,9,0
1,NewOrder,1547803216.564644,158020,2,0
1,NewOrder,1547803216.577450,1687409,7,0
2,Payment,1547803216.577451,1687468,0,0
4,Delivery,1547803216.722603,1896611,9,0
1,NewOrder,1547803216.722684,1896427,5,0
1,NewOrder,1547803216.722687,1896806,2,0
2,Payment,1547803216.722688,1896415,1,0
5,StockLevel,1547803216.722688,19309,4,0
2,Payment,1547803216.722759,1896570,3,0
2,Payment,1547803216.723139,1896192,6,0
2,Payment,1547803216.742033,1877119,4,0
2,Payment,1547803218.264898,771567,7,0
1,NewOrder,1547803218.264921,771562,8,0
2,Payment,1547803218.264934,771510,0,0
1,NewOrder,1547803218.619133,443901,1,0
1,NewOrder,1547803218.619135,443910,5,0
2,Payment,1547803218.619188,443813,4,0
1,NewOrder,1547803218.619234,443904,9,0
1,NewOrder,1547803218.619348,443639,3,0
2,Payment,1547803218.619355,443626,6,0
2,Payment,1547803218.619507,443554,2,0
1,NewOrder,1547803219.036484,68418,0,0
2,Payment,1547803219.036498,68404,7,0
2,Payment,1547803219.036512,68443,8,0
5,StockLevel,1547803219.063009,7057,3,0
1,NewOrder,1547803219.063009,67910,6,0
2,Payment,1547803219.063052,67780,1,0
2,Payment,1547803219.063074,67737,2,0
2,Payment,1547803219.063074,67789,5,0
2,Payment,1547803219.063170,67798,9,0
1,NewOrder,1547803219.063304,67800,4,0
2,Payment,1547803219.070128,60730,3,0
