Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1547808272.863545,101732,0,0
2,Payment,1547808272.960629,65407,7,0
2,Payment,1547808272.960635,4386,8,0
1,NewOrder,1547808272.960636,14361,2,0
2,Payment,1547808272.960636,8167,3,0
1,NewOrder,1547808272.960657,4062,6,0
5,StockLevel,1547808272.960658,17144,1,0
1,NewOrder,1547808272.960674,22311,5,0
1,NewOrder,1547808272.960789,4524,9,0
1,NewOrder,1547808272.964945,1444,6,0
1,NewOrder,1547808272.965058,9954,8,0
3,OrderStatus,1547808272.965307,13244,0,0
2,Payment,1547808272.965330,7844,9,0
2,Payment,1547808272.966405,59934,6,0
2,Payment,1547808272.968831,3506,3,0
2,Payment,1547808272.972359,3199,3,0
1,NewOrder,1547808272.973191,5737,9,0
1,NewOrder,1547808272.975017,3517,2,0
2,Payment,1547808272.975025,3734,8,0
2,Payment,1547808272.975574,2635,3,0
3,OrderStatus,1547808272.977825,4163,1,0
1,NewOrder,1547808272.978221,4611,3,0
2,Payment,1547808272.978646,4731,0,0
2,Payment,1547808272.978651,3994,2,0
1,NewOrder,1547808272.978785,11724,8,0
1,NewOrder,1547808272.979088,10931,9,0
2,Payment,1547808272.982047,7983,1,0
3,OrderStatus,1547808272.982667,2907,2,0
2,Payment,1547808272.982857,2993,3,0
1,NewOrder,1547808272.983015,7617,5,0
1,NewOrder,1547808272.983403,6847,0,0
2,Payment,1547808272.985599,2668,2,0
5,StockLevel,1547808272.985872,6822,3,0
1,NewOrder,1547808272.988291,3807,2,0
1,NewOrder,1547808272.990048,3722,9,0
1,NewOrder,1547808272.990053,6734,1,0
5,StockLevel,1547808272.990270,9779,0,0
2,Payment,1547808272.990537,3264,8,0
2,Payment,1547808272.990651,3435,5,0
2,Payment,1547808272.992119,2434,2,0
2,Payment,1547808272.992714,4888,3,0
2,Payment,1547808272.993785,2908,9,0
2,Payment,1547808272.993824,6031,8,0
2,Payment,1547808272.994100,5042,5,0
4,Delivery,1547808272.994568,68621,2,0
1,NewOrder,1547808272.996713,4029,9,0
1,NewOrder,1547808272.996809,7754,1,0
1,NewOrder,1547808272.997621,285064,3,0
2,Payment,1547808272.999164,3626,5,0
2,Payment,1547808272.999877,3700,8,0
2,Payment,1547808273.000068,4079,0,0
1,NewOrder,1547808273.000758,9372,9,0
2,Payment,1547808273.002812,3612,5,0
4,Delivery,1547808273.003603,279215,8,0
5,StockLevel,1547808273.004175,3332,0,0
1,NewOrder,1547808273.004579,38562,1,0
1,NewOrder,1547808273.006447,36633,5,0
2,Payment,1547808273.007524,275115,0,0
1,NewOrder,1547808273.010178,38933,9,0
1,NewOrder,1547808273.026052,21196,4,0
4,Delivery,1547808273.026062,2703181,7,0
2,Payment,1547808273.026373,17514,6,0
3,OrderStatus,1547808273.043109,2031,5,0
2,Payment,1547808273.043167,239963,1,0
1,NewOrder,1547808273.043898,38150,6,0
1,NewOrder,1547808273.045153,5582,5,0
1,NewOrder,1547808273.047277,6266,4,0
3,OrderStatus,1547808273.049125,27276,9,0
2,Payment,1547808273.050754,2466,5,0
1,NewOrder,1547808273.053240,29752,5,0
2,Payment,1547808273.053557,23040,4,0
2,Payment,1547808273.063217,13239,2,0
1,NewOrder,1547808273.076435,2652808,9,0
