Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1547805033.935009,16146,4,0
2,Payment,1547805033.935010,1051565,7,0
1,NewOrder,1547805033.935010,1052091,6,0
2,Payment,1547805033.935058,1051441,1,0
2,Payment,1547805033.935076,1051956,3,0
2,Payment,1547805033.935091,1051793,2,0
2,Payment,1547805033.935266,1051350,0,0
1,NewOrder,1547805033.937512,1049012,8,0
2,Payment,1547805033.937543,1048976,5,0
1,NewOrder,1547805033.951299,1035150,4,0
5,StockLevel,1547805034.626748,7548,9,0
5,StockLevel,1547805034.634341,2575,9,0
2,Payment,1547805034.636938,1091250,9,0
1,NewOrder,1547805034.986479,1539977,4,0
4,Delivery,1547805034.986521,1540072,1,0
2,Payment,1547805034.986532,1539946,5,0
1,NewOrder,1547805034.986540,1539917,8,0
4,Delivery,1547805034.986619,1540217,7,0
1,NewOrder,1547805034.986644,1539886,0,0
2,Payment,1547805034.986914,1540020,2,0
5,StockLevel,1547805034.987055,12913,3,0
2,Payment,1547805034.987118,1539339,6,0
2,Payment,1547805035.000005,1526896,3,0
2,Payment,1547805035.728237,2523134,9,0
1,NewOrder,1547805036.526496,2843824,4,0
2,Payment,1547805036.526496,2843373,8,0
1,NewOrder,1547805036.526519,2844116,5,0
1,NewOrder,1547805036.526528,2843341,6,0
2,Payment,1547805036.526557,2844019,0,0
1,NewOrder,1547805036.526617,2843471,1,0
1,NewOrder,1547805036.526860,2843190,7,0
2,Payment,1547805036.526924,2843000,3,0
2,Payment,1547805036.526959,2842910,2,0
2,Payment,1547805038.251410,1851876,9,0
2,Payment,1547805039.369904,1218140,6,0
2,Payment,1547805039.369905,1217810,8,0
2,Payment,1547805039.369905,1217937,2,0
2,Payment,1547805039.369941,1217773,3,0
1,NewOrder,1547805039.370071,1217643,7,0
2,Payment,1547805039.370122,1218151,1,0
1,NewOrder,1547805039.370394,1217374,4,0
1,NewOrder,1547805039.370603,1217111,0,0
2,Payment,1547805039.370674,1217167,5,0
1,NewOrder,1547805040.103327,1261386,9,0
1,NewOrder,1547805040.587752,276265,8,0
1,NewOrder,1547805040.587752,276478,7,0
2,Payment,1547805040.587753,276264,3,0
2,Payment,1547805040.587753,276264,0,0
2,Payment,1547805040.587802,276294,4,0
2,Payment,1547805040.587872,276305,5,0
5,StockLevel,1547805040.587873,140579,2,0
2,Payment,1547805040.588074,276144,6,0
1,NewOrder,1547805040.588457,275918,1,0
2,Payment,1547805040.728533,636179,2,0
1,NewOrder,1547805040.864050,1106342,8,0
1,NewOrder,1547805040.864050,1106584,3,0
1,NewOrder,1547805040.864050,1106480,0,0
2,Payment,1547805040.864133,1106320,4,0
2,Payment,1547805040.864204,1106389,5,0
4,Delivery,1547805040.864238,1106156,6,0
1,NewOrder,1547805040.864249,1106337,7,0
4,Delivery,1547805040.864407,1105985,1,0
1,NewOrder,1547805041.364759,1248411,2,0
1,NewOrder,1547805041.364759,1248232,9,0
1,NewOrder,1547805041.970425,1018662,1,0
1,NewOrder,1547805041.970425,1518967,6,0
2,Payment,1547805041.970426,1018662,8,0
2,Payment,1547805041.970492,1019776,4,0
2,Payment,1547805041.970554,1018572,0,0
2,Payment,1547805041.970603,1018599,7,0
2,Payment,1547805041.970650,1018437,3,0
2,Payment,1547805041.970756,1018331,5,0
2,Payment,1547805042.613022,876594,9,0
1,NewOrder,1547805042.613185,6035,2,0
2,Payment,1547805042.619234,870163,2,0
1,NewOrder,1547805042.989124,1143062,8,0
2,Payment,1547805042.989124,1143061,3,0
1,NewOrder,1547805042.989124,1143176,5,0
2,Payment,1547805042.989125,1143059,1,0
3,OrderStatus,1547805042.989149,4503,0,0
2,Payment,1547805042.989221,1142963,7,0
3,OrderStatus,1547805042.990292,3146,4,0
1,NewOrder,1547805042.993489,1138694,4,0
1,NewOrder,1547805042.993668,1138816,0,0
3,OrderStatus,1547805043.489443,2355,6,0
1,NewOrder,1547805043.489470,1054915,2,0
4,Delivery,1547805043.489633,1054903,9,0
2,Payment,1547805043.491813,1052620,6,0
1,NewOrder,1547805044.132229,791721,4,0
1,NewOrder,1547805044.132229,791546,3,0
2,Payment,1547805044.132230,791725,1,0
2,Payment,1547805044.132235,791589,7,0
1,NewOrder,1547805044.132269,791626,8,0
4,Delivery,1547805044.132321,791610,5,0
1,NewOrder,1547805044.132499,791396,0,0
2,Payment,1547805044.544423,988408,2,0
1,NewOrder,1547805044.544452,988472,6,0
1,NewOrder,1547805044.544557,988290,9,0
2,Payment,1547805044.923809,1110363,3,0
3,OrderStatus,1547805044.923865,3166,7,0
2,Payment,1547805044.923939,1110054,8,0
1,NewOrder,1547805044.923951,1110059,5,0
2,Payment,1547805044.923970,1110034,4,0
1,NewOrder,1547805044.923971,1110591,1,0
2,Payment,1547805044.923995,1109998,0,0
2,Payment,1547805044.927061,1106880,7,0
4,Delivery,1547805045.532869,1444272,9,0
2,Payment,1547805045.532869,1444139,2,0
2,Payment,1547805045.532948,1444090,6,0
1,NewOrder,1547805046.033977,1144589,7,0
2,Payment,1547805046.034013,1144111,8,0
2,Payment,1547805046.034013,1144813,0,0
2,Payment,1547805046.034020,1144429,4,0
1,NewOrder,1547805046.034059,1144011,5,0
2,Payment,1547805046.034190,1143873,3,0
5,StockLevel,1547805046.034583,767930,1,0
3,OrderStatus,1547805046.802585,3399,1,0
1,NewOrder,1547805046.806008,372049,1,0
1,NewOrder,1547805046.977056,626572,2,0
2,Payment,1547805046.977078,626679,6,0
2,Payment,1547805046.977166,626502,9,0
1,NewOrder,1547805047.178095,1193546,3,0
2,Payment,1547805047.178095,1193523,1,0
1,NewOrder,1547805047.178105,1193517,5,0
3,OrderStatus,1547805047.178142,5992,8,0
1,NewOrder,1547805047.178468,1193405,4,0
2,Payment,1547805047.178581,1193038,7,0
1,NewOrder,1547805047.178843,1193739,0,0
1,NewOrder,1547805047.184167,1187452,8,0
2,Payment,1547805047.603658,1818498,2,0
2,Payment,1547805047.603684,1818378,9,0
1,NewOrder,1547805047.603786,1818344,6,0
2,Payment,1547805048.371657,1501995,7,0
2,Payment,1547805048.371657,1501600,8,0
2,Payment,1547805048.371657,1501545,1,0
5,StockLevel,1547805048.371657,586728,5,0
2,Payment,1547805048.371658,1501544,3,0
2,Payment,1547805048.371891,1501347,4,0
1,NewOrder,1547805048.372601,1500725,0,0
1,NewOrder,1547805048.958418,914934,5,0
4,Delivery,1547805049.422093,944071,9,0
2,Payment,1547805049.422197,943936,2,0
2,Payment,1547805049.422207,944061,6,0
1,NewOrder,1547805049.873232,945998,3,0
1,NewOrder,1547805049.873235,945411,1,0
2,Payment,1547805049.873254,945259,4,0
2,Payment,1547805049.873274,945425,8,0
1,NewOrder,1547805049.873339,945476,0,0
4,Delivery,1547805049.873366,945687,5,0
2,Payment,1547805049.873666,944909,7,0
2,Payment,1547805050.366168,962633,2,0
4,Delivery,1547805050.366179,962678,9,0
1,NewOrder,1547805050.366280,962683,6,0
1,NewOrder,1547805050.818547,969770,4,0
5,StockLevel,1547805050.818602,7566,7,0
1,NewOrder,1547805050.818660,970586,1,0
1,NewOrder,1547805050.818713,969604,8,0
2,Payment,1547805050.818827,969490,0,0
1,NewOrder,1547805050.819068,969249,5,0
2,Payment,1547805050.819245,969342,3,0
