Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1547774113.532063,1420722,9,0
1,NewOrder,1547774113.532094,1420747,0,0
2,Payment,1547774113.532096,1420725,7,0
1,NewOrder,1547774113.532175,1421185,5,0
1,NewOrder,1547774113.532287,1420552,2,0
5,StockLevel,1547774113.533783,11441,8,0
2,Payment,1547774113.538299,1414875,3,0
1,NewOrder,1547774113.538313,1414286,4,0
2,Payment,1547774113.538314,1414643,1,0
1,NewOrder,1547774113.545480,1407300,8,0
2,Payment,1547774114.034036,919972,6,0
4,Delivery,1547774114.952647,512745,4,0
2,Payment,1547774114.952821,513666,8,0
2,Payment,1547774114.952842,512646,9,0
1,NewOrder,1547774114.952876,512500,0,0
2,Payment,1547774114.952876,512636,7,0
4,Delivery,1547774114.952877,512492,2,0
1,NewOrder,1547774114.952994,2006750,1,0
2,Payment,1547774114.953211,512165,3,0
1,NewOrder,1547774114.953388,512202,5,0
2,Payment,1547774114.954061,511783,6,0
2,Payment,1547774115.465407,1494093,0,0
1,NewOrder,1547774115.465407,1494429,3,0
2,Payment,1547774115.465407,1494162,2,0
1,NewOrder,1547774115.465414,1494087,4,0
1,NewOrder,1547774115.465540,1495267,7,0
1,NewOrder,1547774115.465610,1493890,5,0
1,NewOrder,1547774115.465864,1494236,6,0
1,NewOrder,1547774115.466512,1492990,8,0
5,StockLevel,1547774115.467590,10079,9,0
1,NewOrder,1547774115.477707,1482304,9,0
2,Payment,1547774116.959541,167301,0,0
4,Delivery,1547774116.959541,494901,4,0
1,NewOrder,1547774116.959544,494898,8,0
2,Payment,1547774116.959551,496141,5,0
1,NewOrder,1547774116.959586,494905,2,0
1,NewOrder,1547774116.959781,494662,1,0
1,NewOrder,1547774116.959858,495338,3,0
3,OrderStatus,1547774116.960030,71564,9,0
2,Payment,1547774116.960120,494332,6,0
1,NewOrder,1547774116.960826,495073,7,0
2,Payment,1547774117.031621,423074,9,0
2,Payment,1547774117.126890,977536,0,0
1,NewOrder,1547774117.454477,1422518,8,0
1,NewOrder,1547774117.454477,1422503,1,0
2,Payment,1547774117.454478,1422701,6,0
1,NewOrder,1547774117.454502,1422734,4,0
1,NewOrder,1547774117.454510,1422629,2,0
5,StockLevel,1547774117.454715,8615,9,0
4,Delivery,1547774117.455218,1421787,3,0
1,NewOrder,1547774117.455714,1421310,5,0
4,Delivery,1547774117.455920,1421121,7,0
1,NewOrder,1547774117.463389,1413605,9,0
1,NewOrder,1547774118.104462,1240087,0,0
1,NewOrder,1547774118.877011,1626763,1,0
2,Payment,1547774118.877013,1626898,9,0
2,Payment,1547774118.877023,1626847,3,0
1,NewOrder,1547774118.877036,9591,5,0
1,NewOrder,1547774118.877058,1627685,7,0
3,OrderStatus,1547774118.877155,3345,2,0
1,NewOrder,1547774118.877194,1626499,6,0
2,Payment,1547774118.877253,1626594,4,0
