Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1547805696.120851,248352,3,0
2,Payment,1547805696.120857,248757,4,0
5,StockLevel,1547805696.120902,6566,2,0
1,NewOrder,1547805696.120984,247795,5,0
1,NewOrder,1547805696.121247,247681,8,0
1,NewOrder,1547805696.121444,247775,9,0
1,NewOrder,1547805696.122179,246801,7,0
1,NewOrder,1547805696.127724,241563,2,0
1,NewOrder,1547805696.338518,40580,0,0
2,Payment,1547805696.338643,40455,1,0
1,NewOrder,1547805696.338749,40605,6,0
2,Payment,1547805696.368818,27898,5,0
2,Payment,1547805696.368959,27719,8,0
1,NewOrder,1547805696.368994,38706,7,0
1,NewOrder,1547805696.369223,38471,3,0
2,Payment,1547805696.369238,27460,9,0
3,OrderStatus,1547805696.369302,3487,2,0
2,Payment,1547805696.369628,27177,4,0
2,Payment,1547805696.372820,23897,2,0
4,Delivery,1547805696.379137,39337,1,0
2,Payment,1547805696.379137,28562,0,0
1,NewOrder,1547805696.379383,28395,6,0
1,NewOrder,1547805696.396724,21726,9,0
2,Payment,1547805696.396725,21707,8,0
4,Delivery,1547805696.396748,42539,5,0
2,Payment,1547805696.396748,21872,2,0
1,NewOrder,1547805696.396827,21780,4,0
4,Delivery,1547805696.407744,31351,7,0
2,Payment,1547805696.407744,21034,0,0
2,Payment,1547805696.407745,20821,3,0
3,OrderStatus,1547805696.407797,2417,6,0
2,Payment,1547805696.410236,18445,6,0
2,Payment,1547805696.418469,20533,8,0
2,Payment,1547805696.418473,20795,9,0
1,NewOrder,1547805696.418492,29261,1,0
2,Payment,1547805696.418628,20513,4,0
2,Payment,1547805696.418633,20725,2,0
2,Payment,1547805696.428618,19243,3,0
1,NewOrder,1547805696.428714,28716,6,0
2,Payment,1547805696.428795,18958,0,0
2,Payment,1547805696.439044,18150,8,0
2,Payment,1547805696.439120,18086,7,0
2,Payment,1547805696.439264,22136,4,0
2,Payment,1547805696.439287,17859,9,0
1,NewOrder,1547805696.439311,26945,5,0
2,Payment,1547805696.439379,17815,2,0
2,Payment,1547805696.447875,18898,1,0
4,Delivery,1547805696.447878,495043,3,0
2,Payment,1547805696.447984,18234,0,0
1,NewOrder,1547805696.457191,33941,9,0
1,NewOrder,1547805696.457229,485465,7,0
1,NewOrder,1547805696.457235,34000,2,0
3,OrderStatus,1547805696.457235,3601,8,0
1,NewOrder,1547805696.457450,33682,6,0
2,Payment,1547805696.460870,17122,8,0
5,StockLevel,1547805696.461433,9324,4,0
1,NewOrder,1547805696.466263,476691,0,0
2,Payment,1547805696.466269,24878,5,0
4,Delivery,1547805696.466789,476148,1,0
2,Payment,1547805696.470799,20334,4,0
1,NewOrder,1547805696.478042,464657,8,0
2,Payment,1547805696.491176,918958,4,0
2,Payment,1547805696.491176,920107,6,0
2,Payment,1547805696.491176,920144,9,0
2,Payment,1547805696.491180,920414,5,0
1,NewOrder,1547805696.491267,920229,2,0
5,StockLevel,1547805696.942734,7622,7,0
1,NewOrder,1547805696.942738,805325,8,0
2,Payment,1547805696.942938,805076,3,0
2,Payment,1547805696.942954,805156,1,0
1,NewOrder,1547805696.942977,7366,0,0
2,Payment,1547805696.950376,797562,0,0
2,Payment,1547805696.950380,797485,7,0
1,NewOrder,1547805697.410163,464584,4,0
2,Payment,1547805697.411308,463651,6,0
1,NewOrder,1547805697.411335,463520,9,0
1,NewOrder,1547805697.411528,463142,2,0
2,Payment,1547805697.411610,463342,5,0
2,Payment,1547805697.747897,194751,7,0
2,Payment,1547805697.747958,194960,0,0
1,NewOrder,1547805697.748041,195102,3,0
2,Payment,1547805697.748081,194731,8,0
1,NewOrder,1547805697.748123,194907,1,0
1,NewOrder,1547805697.874694,86069,2,0
2,Payment,1547805697.874785,85950,4,0
1,NewOrder,1547805697.874865,85891,9,0
1,NewOrder,1547805697.874967,85769,5,0
2,Payment,1547805697.874975,85850,6,0
1,NewOrder,1547805697.942673,69775,7,0
2,Payment,1547805697.942825,69736,8,0
2,Payment,1547805697.942938,69580,0,0
1,NewOrder,1547805697.943047,69079,1,0
1,NewOrder,1547805697.943164,69082,3,0
1,NewOrder,1547805697.960774,61853,9,0
2,Payment,1547805697.960789,61642,5,0
1,NewOrder,1547805697.960794,61769,2,0
1,NewOrder,1547805697.960839,61856,6,0
1,NewOrder,1547805697.961307,61161,4,0
2,Payment,1547805698.012216,19339,1,0
2,Payment,1547805698.012263,18682,3,0
2,Payment,1547805698.012479,18543,7,0
2,Payment,1547805698.012540,18482,0,0
2,Payment,1547805698.012577,18368,8,0
1,NewOrder,1547805698.022448,34382,5,0
2,Payment,1547805698.022498,21600,4,0
1,NewOrder,1547805698.022575,34255,2,0
5,StockLevel,1547805698.022643,8946,9,0
4,Delivery,1547805698.022726,34147,6,0
4,Delivery,1547805698.030979,64859,8,0
4,Delivery,1547805698.030979,36291,3,0
1,NewOrder,1547805698.031036,25837,0,0
2,Payment,1547805698.031036,25798,7,0
1,NewOrder,1547805698.031569,25304,1,0
3,OrderStatus,1547805698.031600,3351,9,0
2,Payment,1547805698.034973,21900,9,0
1,NewOrder,1547805698.044117,51740,4,0
1,NewOrder,1547805698.056845,38942,5,0
1,NewOrder,1547805698.056845,38901,7,0
1,NewOrder,1547805698.056845,38911,2,0
2,Payment,1547805698.056908,38833,6,0
1,NewOrder,1547805698.056908,38842,1,0
1,NewOrder,1547805698.056908,38842,9,0
4,Delivery,1547805698.056908,48148,0,0
1,NewOrder,1547805698.067303,37773,3,0
2,Payment,1547805698.095775,19253,9,0
2,Payment,1547805698.095775,19240,6,0
3,OrderStatus,1547805698.095775,3230,1,0
2,Payment,1547805698.095782,19253,7,0
2,Payment,1547805698.095789,19287,2,0
2,Payment,1547805698.095809,19289,5,0
2,Payment,1547805698.095851,19347,8,0
4,Delivery,1547805698.095873,41833,4,0
1,NewOrder,1547805698.099027,26671,1,0
4,Delivery,1547805698.105081,32277,0,0
1,NewOrder,1547805698.105087,20647,3,0
2,Payment,1547805698.115047,22328,6,0
1,NewOrder,1547805698.115048,22353,7,0
3,OrderStatus,1547805698.115056,2848,9,0
1,NewOrder,1547805698.115106,22590,2,0
4,Delivery,1547805698.115110,32261,5,0
2,Payment,1547805698.115218,22140,8,0
1,NewOrder,1547805698.117930,29396,9,0
2,Payment,1547805698.125732,21508,1,0
3,OrderStatus,1547805698.125746,2924,3,0
5,StockLevel,1547805698.128701,2680,3,0
4,Delivery,1547805698.131395,429154,3,0
1,NewOrder,1547805698.137391,807760,0,0
1,NewOrder,1547805698.137394,423304,8,0
2,Payment,1547805698.137405,423146,6,0
1,NewOrder,1547805698.137414,807538,7,0
2,Payment,1547805698.137713,422988,2,0
3,OrderStatus,1547805698.137723,1783,4,0
1,NewOrder,1547805698.139519,805673,4,0
3,OrderStatus,1547805698.147271,2300,1,0
1,NewOrder,1547805698.147343,797848,9,0
2,Payment,1547805698.147392,797613,5,0
1,NewOrder,1547805698.149592,795408,1,0
1,NewOrder,1547805698.560590,636669,3,0
3,OrderStatus,1547805698.560590,2963,6,0
1,NewOrder,1547805698.560712,636491,8,0
1,NewOrder,1547805698.560720,636552,2,0
1,NewOrder,1547805698.563569,634002,6,0
1,NewOrder,1547805698.945000,778610,7,0
2,Payment,1547805698.945015,778595,1,0
1,NewOrder,1547805698.945017,779677,5,0
1,NewOrder,1547805698.945164,778585,0,0
2,Payment,1547805698.945206,779332,9,0
1,NewOrder,1547805698.945207,778648,4,0
2,Payment,1547805699.197227,1010485,8,0
1,NewOrder,1547805699.197273,1010603,3,0
2,Payment,1547805699.197287,1010536,2,0
2,Payment,1547805699.197581,1010131,6,0
5,StockLevel,1547805699.723637,4497,1,0
1,NewOrder,1547805699.723649,770649,7,0
2,Payment,1547805699.723759,771190,0,0
2,Payment,1547805699.723866,770354,4,0
1,NewOrder,1547805699.724553,770078,9,0
2,Payment,1547805699.724706,769682,5,0
2,Payment,1547805699.728153,766068,1,0
1,NewOrder,1547805700.207735,1054405,8,0
2,Payment,1547805700.207737,1054449,6,0
1,NewOrder,1547805700.207834,1054306,2,0
1,NewOrder,1547805700.207886,1054091,3,0
1,NewOrder,1547805700.494247,794431,1,0
1,NewOrder,1547805700.494247,794358,4,0
1,NewOrder,1547805700.494310,794359,7,0
2,Payment,1547805700.494401,793988,5,0
2,Payment,1547805700.494643,793793,9,0
1,NewOrder,1547805700.494962,793844,0,0
1,NewOrder,1547805701.262009,69682,3,0
2,Payment,1547805701.262168,69411,8,0
2,Payment,1547805701.262168,69445,2,0
1,NewOrder,1547805701.262204,69375,6,0
2,Payment,1547805701.288408,78623,5,0
2,Payment,1547805701.288453,78588,9,0
1,NewOrder,1547805701.288623,78561,4,0
2,Payment,1547805701.288687,78197,7,0
4,Delivery,1547805701.288697,78210,1,0
2,Payment,1547805701.288869,77937,0,0
2,Payment,1547805701.331614,54492,8,0
2,Payment,1547805701.331614,54492,6,0
4,Delivery,1547805701.331636,54725,2,0
2,Payment,1547805701.331706,54406,3,0
1,NewOrder,1547805701.366826,63909,0,0
1,NewOrder,1547805701.366905,63810,7,0
2,Payment,1547805701.366921,63907,1,0
4,Delivery,1547805701.367044,63612,5,0
1,NewOrder,1547805701.367052,64009,9,0
1,NewOrder,1547805701.367202,63533,4,0
1,NewOrder,1547805701.386134,87113,6,0
1,NewOrder,1547805701.386134,87272,3,0
1,NewOrder,1547805701.386134,87217,8,0
2,Payment,1547805701.386374,86964,2,0
1,NewOrder,1547805701.430678,65624,5,0
2,Payment,1547805701.430736,65520,7,0
2,Payment,1547805701.430766,65513,4,0
5,StockLevel,1547805701.430766,29179,0,0
4,Delivery,1547805701.430850,65437,1,0
2,Payment,1547805701.431076,65486,9,0
2,Payment,1547805701.459974,36314,0,0
2,Payment,1547805701.473280,140856,6,0
2,Payment,1547805701.473353,140817,2,0
1,NewOrder,1547805701.473363,141028,8,0
2,Payment,1547805701.473419,140842,3,0
