waiting for 1 second sample...
#<----CPU[HYPER]-----><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   1   0   580   2697 225M 311M  37G  18G 724M 940M  26992    218   5780     12 
   3   0   767   2593 226M 311M  37G  18G 724M 940M  29064    231      4      1 
   1   0   761   1014 214M 311M  37G  18G 723M 940M  10636     87   7068    344 
   1   0   850   1730 224M 311M  37G  18G 723M 940M  24960    197   2316    239 
   6   0  1627   5183 219M 311M  37G  18G 723M 940M 100532    819      0      0 
   6   0  1109   3307 210M 311M  37G  18G 723M 940M  39916    338   5328     14 
   3   0   967   3597 217M 311M  37G  18G 723M 940M  49156    389      0      0 
   8   1  1756   7301 249M 311M  37G  18G 724M 940M  84220    709      0      0 
   3   0  1622   5155 216M 311M  37G  18G 725M 940M  68220    546      0      0 
   3   0  1426   3897 219M 311M  37G  18G 724M 942M  48256    382      0      0 
   3   0  1400   3591 208M 311M  37G  18G 725M 944M  37508    296  10648     22 
   5   1  1886   5881 219M 311M  37G  18G 723M 946M  55244    448     20      3 
   7   2  2154   8749 203M 311M  37G  18G 723M 951M  93144    775      0      0 
  10   1  2455  10818 208M 311M  37G  18G 723M 955M 108068    854      0      0 
   4   1  2460   5094 283M 311M  37G  18G 723M 883M  59256    631      0      0 
   2   0  1131   2995 247M 311M  37G  18G 724M 884M  31448    248   9924     20 
   1   0  1129   2816 214M 311M  37G  18G 723M 886M  29312    231     28      3 
   5   1  2050   6489 217M 311M  37G  18G 722M 886M 103976    818      0      0 
   3   0  1479   3629 205M 311M  37G  18G 722M 885M  71088    621      0      0 
  10   1  2853  11606 240M 311M  37G  18G 722M 885M 149704   1174      0      0 
   5   0  1496   8361 205M 311M  37G  18G 722M 885M  78240    612      0      0 
   3   0   997   5582 220M 311M  37G  18G 722M 885M  48368    382    904      4 
#<----CPU[HYPER]-----><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   2   0   762   2574 219M 311M  37G  18G 722M 885M  29824    234     40      3 
   7   1  1716   7588 223M 311M  37G  18G 722M 885M  91264    719      0      0 
   6   0  1796   6551 214M 311M  37G  18G 722M 885M  91520    720      0      0 
   4   0  1578   5731 200M 311M  37G  18G 722M 885M  80720    706     52      1 
   3   0   933   4134 228M 311M  37G  18G 722M 885M  41440    330     80     18 
   2   0   645   2401 196M 311M  37G  18G 722M 885M  30080    236      4      1 
   0   0   506    941 217M 311M  37G  18G 722M 885M  10624     84  71756    170 
   5   0  1249   4192 218M 311M  37G  18G 722M 885M  63376    501  17968     36 
   6   0  1672   7647 224M 311M  37G  18G 722M 885M  84008    702      0      0 
   3   0   870   3639 216M 311M  37G  18G 722M 886M  37536    331     36      5 
   2   0   705   2787 254M 311M  37G  18G 722M 886M  32112    255    108      1 
   1   0   738   1850 236M 311M  37G  18G 722M 885M  17672    142  35420     93 
   0   0   807    786 320M 311M  37G  18G 733M 885M   2048     16  33364    268 
   0   0   357    345 322M 311M  37G  18G 732M 885M    256      2  68404    141 
   0   0   351    316 326M 311M  37G  18G 727M 885M      0      0  49344    120 
   1   0   802   4243 294M 311M  37G  18G 722M 885M  40320    315  33664     80 
   4   0  1363   7251 212M 311M  37G  18G 722M 885M  87936    690   2512      5 
   2   0   705    977 218M 311M  37G  18G 722M 885M  12688    100  66388    136 
   2   0   600   2697 219M 311M  37G  18G 722M 885M  30704    243      0      0 
   3   0  1099   3486 205M 311M  37G  18G 722M 885M  48696    409   1188     18 
   4   0  1356   5616 232M 311M  37G  18G 722M 885M  64280    547      0      0 
   7   1  2158   9087 214M 311M  37G  18G 722M 885M 107076    846      0      0 
#<----CPU[HYPER]-----><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   5   0  1582   6096 224M 311M  37G  18G 722M 885M  80992    639      0      0 
   6   1  1751   6781 222M 311M  37G  18G 722M 885M  91344    719     32      2 
   4   0  1351   5420 201M 311M  37G  18G 722M 885M  67632    532      8      2 
   1   0   757   2604 195M 311M  37G  18G 722M 885M  30688    293    124      2 
   5   1  2086   5095 219M 311M  37G  18G 722M 885M 106264    842      0      0 
   7   1  2582   8756 219M 311M  37G  18G 722M 886M  88340    705     56      8 
   9   2  2588   8693 217M 311M  37G  18G 722M 885M 116224    912      0      0 
   5   1  1740   6035 217M 311M  37G  18G 722M 885M  69632    549     32      2 
   2   0  1176   3390 203M 311M  37G  18G 722M 885M  32256    254   1660      4 
   5   0  1627   5759 228M 311M  37G  18G 722M 885M  48768    386      4      1 
   6   1  2310   8053 205M 311M  37G  18G 722M 885M 104328    840      0      0 
   4   0  1662   6001 244M 311M  37G  18G 722M 885M  87008    715      0      0 
   2   0  1015   4500 218M 311M  37G  18G 722M 885M  54776    440   1488      4 
   2   0   787   2817 225M 311M  37G  18G 722M 885M  31360    247     16      2 
   3   0   992   3745 225M 311M  37G  18G 722M 885M  47312    374      4      1 
   4   0  1610   4249 219M 311M  37G  18G 722M 885M  90544    713      0      0 
   5   0  1787   6974 222M 311M  37G  18G 722M 886M  94840    777      0      0 
   5   0  1292   4064 246M 311M  37G  18G 722M 885M  50528    429     48     11 
   2   0   729   2372 213M 311M  37G  18G 722M 885M  30064    241     92      1 
   5   0  1626   7892 206M 311M  37G  18G 722M 885M  84736    667     20      3 
Ouch!
