waiting for 1 second sample...
#<----CPU[HYPER]-----><-----------Memory-----------><----------Disks----------->
#cpu sys inter  ctxsw Free Buff Cach Inac Slab  Map KBRead  Reads KBWrit Writes 
   0   0  3888   4867 356M 358M  32G  24G   1G   4G    640     56  51648    144 
   0   0  3181   3715 357M 358M  32G  24G   1G   4G    372     14  51640    141 
   0   0  3041   3685 357M 358M  32G  24G   1G   4G    596     16  51616    137 
   0   0  3244   3981 357M 358M  32G  24G   1G   4G    292     11  50144    133 
   0   0  2875   3572 357M 358M  32G  24G   1G   4G    408     33  50240    133 
   0   0  3034   3706 357M 358M  32G  24G   1G   4G    552     13  52712    185 
   0   0  3070   3599 358M 358M  32G  24G   1G   4G    296     12  51552    139 
   0   0  3278   3722 358M 358M  32G  24G   1G   4G    628     18  38508    220 
   1   0  3899   4912 347M 358M  32G  24G   1G   4G  14044    127  33076    166 
   9   2  6040   8829 225M 358M  32G  24G   1G   4G 172576   1357    108     18 
  11   3  6873   9543 206M 358M  32G  24G   1G   4G 180980   1468   1128    144 
  11   4  6600   9352   1G 358M  31G  23G   1G   4G 179888   1411    756     78 
  10   3  6412   8962   1G 358M  31G  23G   1G   4G 170452   1348    864    107 
   9   3  6583   9317   1G 358M  31G  23G   1G   4G 164280   1299   2284     82 
  11   3  6369   9224   1G 358M  31G  23G   1G   4G 168128   1353      0      0 
  10   2  6236   9312 974M 358M  31G  23G   1G   4G 176436   1388    176     13 
  11   4  6604   9518 695M 358M  32G  23G   1G   4G 185400   1462     76      2 
  10   2  6353   9164 467M 358M  32G  24G   1G   4G 176220   1398      0      0 
   8   2  6015   8801 276M 358M  32G  24G   1G   4G 152612   1199   2308     11 
  11   3  6540   9253 230M 358M  32G  24G   1G   4G 174848   1382    616     79 
  11   4  6737   9801   2G 358M  30G  23G   1G   4G 169572   1392    748     92 
  10   3  6563   9207   2G 358M  30G  23G   1G   4G 180320   1419    832     97 
#<----CPU[HYPER]-----><-----------Memory-----------><----------Disks----------->
